,year,country_code,pop_percentage,medal_percentage
0,1960,AUT,0.0144,0.0408
16,1964,AUT,0.0132,0.0919
32,1968,AUT,0.0124,0.0754
48,1972,AUT,0.0098,0.025
64,1976,AUT,0.0113,0.0333
80,1980,AUT,0.0092,0.0367
96,1984,AUT,0.0094,0.0045
112,1988,AUT,0.0097,0.0465
128,1992,AUT,0.0038,0.0892
144,1994,AUT,0.0036,0.035
160,1998,AUT,0.0035,0.0447
176,2002,AUT,0.0035,0.0416
192,2006,AUT,0.0034,0.0565
208,2010,AUT,0.0034,0.0491
224,2014,AUT,0.0034,0.0441
225,1960,CAN,0.0366,0.1429
241,1964,CAN,0.0352,0.0378
257,1968,CAN,0.0347,0.1005
273,1972,CAN,0.0288,0.005
289,1976,CAN,0.035,0.0143
305,1980,CAN,0.0298,0.0092
321,1984,CAN,0.0317,0.0181
337,1988,CAN,0.0342,0.0233
353,1992,CAN,0.0136,0.1138
369,1994,CAN,0.0131,0.1166
385,1998,CAN,0.0131,0.1096
401,2002,CAN,0.0135,0.1559
417,2006,CAN,0.0135,0.1281
433,2010,CAN,0.014,0.172
449,2014,CAN,0.0141,0.1471
450,1960,CZE,0.0196,0.0068
465,1964,CZE,0.0177,0.0919
480,1968,CZE,0.0165,0.1055
495,1972,CZE,0.0128,0.1
510,1976,CZE,0.0151,0.0857
525,1980,CZE,0.0125,0.0046
540,1984,CZE,0.0128,0.1267
555,1988,CZE,0.0132,0.0233
570,1992,CZE,0.005,0.0862
585,1998,CZE,0.0045,0.0537
600,2002,CZE,0.0044,0.0062
615,2006,CZE,0.0042,0.0527
630,2010,CZE,0.0043,0.017
645,2014,CZE,0.0042,0.018
646,1960,FIN,0.0091,0.0884
662,1964,FIN,0.0083,0.0811
678,1968,FIN,0.0077,0.0402
694,1972,FIN,0.006,0.05
710,1976,FIN,0.0071,0.0762
726,1980,FIN,0.0058,0.055
742,1984,FIN,0.006,0.086
758,1988,FIN,0.0063,0.1318
774,1992,FIN,0.0024,0.04
790,1994,FIN,0.0023,0.0904
806,1998,FIN,0.0022,0.132
822,2002,FIN,0.0022,0.027
838,2006,FIN,0.0022,0.081
854,2010,FIN,0.0022,0.0945
870,2014,FIN,0.0022,0.0556
871,1960,FRA,0.0954,0.0204
887,1964,FRA,0.0897,0.0378
903,1968,FRA,0.0855,0.0452
919,1972,FRA,0.0683,0.015
935,1976,FRA,0.0809,0.0048
951,1980,FRA,0.067,0.0046
967,1984,FRA,0.0698,0.0136
983,1988,FRA,0.0735,0.0078
999,1992,FRA,0.0283,0.0369
1015,1994,FRA,0.0267,0.0321
1031,1998,FRA,0.0262,0.0336
1047,2002,FRA,0.0267,0.0312
1063,2006,FRA,0.0263,0.0282
1079,2010,FRA,0.0268,0.0265
1095,2014,FRA,0.0263,0.0294
1096,1960,ITA,0.1027,0.0068
1112,1964,ITA,0.0942,0.0541
1128,1968,ITA,0.0889,0.0402
1144,1972,ITA,0.0704,0.045
1160,1976,ITA,0.0831,0.019
1176,1980,ITA,0.0686,0.0138
1192,1984,ITA,0.0701,0.009
1208,1988,ITA,0.0722,0.031
1224,1992,ITA,0.0273,0.0646
1240,1994,ITA,0.0256,0.0962
